Task ID,Task Name,Description,Task Status,Completion Date,Employee ID,Vehicle ID
1,Gear Replacement,Screeching sounds while shifting gears,In Progress,14-09-2022,3,9
2,Car Wash,Complete exterior wash,In Progress,25-11-2022,5,12
3,Paint Correction,Wrong paint on the bumpers and bonnet,Assigned,16-11-2022,4,5
4,Full Service,Complete general service,In Progress,17-11-2022,2,2
5,Tyre Replacement,Tyres have exceeded life,In Progress,23-11-2022,1,6
6,Clutch Plate Replacemt,Clutch pedal feels loose,Assigned,20-11-2022,9,10
7,Brake Adjustment,Brakes are not firm,In Progress,20-10-2022,8,4
8,Oil Change,Regular change,In Progress,20-11-2022,3,1
9,Paint Correction,Paint is not polished properly,In Progress,17-11-2022,10,13
10,Deep Clean,Interior and exterior cleaning,In Progress,19-11-2022,12,7
11,Gear Replacement,Screeching sounds,In Progress,18-11-2022,13,11
12,Full Service,Complete general service,Assigned,29-11-2022,5,8
13,Oil Change,Overdue Change,In Progress,15-11-2022,7,3
